Date,AUD=,NZD=,EUR=,GBP=,CAD=,CHF=,JPY=,AUDNZD=R,EURAUD=R,GBPAUD=R,AUDCAD=R,AUDCHF=R,AUDJPY=R,EURNZD=R,GBPNZD=R,NZDCAD=R,NZDCHF=R,NZDJPY=R,EURGBP=R,EURCAD=R,EURCHF=R,EURJPY=R,GBPCAD=R,GBPCHF=R,GBPJPY=R,CADCHF=R,CADJPY=R,CHFJPY=R
1996-01-05,0.74775,0.65755,1.2843,1.5525,1.35835,1.1615,105.41,1.1372,1.71755,2.07625,1.01605,0.8685,78.76,1.9532,2.36105,0.89315,0.76375,69.24,0.82725,1.7445,1.4917,135.235,2.10885,1.80325,163.48,0.8551,77.52,90.655
1996-01-12,0.7435,0.66285,1.2813,1.5465,1.36305,1.163,105.25,1.12165,1.72335,2.07875,1.0135,0.86465,78.28,1.933,2.3331,0.9035,0.7709,69.765,0.8285,1.7466,1.49015,134.855,2.1081,1.79855,162.77,0.85315,77.23,90.525
1996-01-19,0.73535,0.66425,1.2461,1.5075,1.366,1.1923,105.345,1.10705,1.69455,2.05005,1.0045,0.87675,77.47,1.87595,2.26945,0.9074,0.79195,69.975,0.8266,1.7022,1.4857,131.275,2.05925,1.79735,158.81,0.87285,77.12,88.355
1996-01-26,0.73735,0.66675,1.2255,1.502,1.38175,1.211,106.65,1.10585,1.66205,2.03705,1.01885,0.8929,78.64,1.83805,2.2527,0.9213,0.80745,71.11,0.8159,1.6933,1.4841,130.695,2.0754,1.81895,160.19,0.8764,77.18,88.065
1996-02-02,0.75765,0.67685,1.2383,1.5243,1.37595,1.21445,106.45,1.11935,1.6344,2.0119,1.0425,0.9201,80.65,1.8295,2.25205,0.93135,0.822,72.05,0.8124,1.7038,1.50385,131.815,2.09735,1.8512,162.26,0.88265,77.36,87.655
1996-02-09,0.75495,0.67445,1.24475,1.5307,1.37145,1.2075,107.03,1.11935,1.64875,2.02755,1.03535,0.9116,80.8,1.84555,2.26955,0.92495,0.8144,72.19,0.81315,1.70715,1.50305,133.225,2.09925,1.84835,163.83,0.88045,78.04,88.635
1996-02-16,0.75565,0.67845,1.257,1.5515,1.38105,1.1845,105.2,1.11375,1.6635,2.0532,1.0436,0.8947,79.5,1.85275,2.2868,0.93695,0.80365,71.375,0.8102,1.736,1.4889,132.245,2.1427,1.83775,163.23,0.8577,76.18,88.815
1996-02-23,0.75755,0.67685,1.268,1.54305,1.37625,1.176,104.85,1.1192,1.6738,2.0369,1.04255,0.8913,79.43,1.8734,2.27975,0.9315,0.79595,70.97,0.82175,1.7451,1.4918,132.945,2.12365,1.8154,161.79,0.85485,76.19,89.155
1996-03-01,0.76175,0.67325,1.252,1.5285,1.37145,1.204,105.355,1.13145,1.6436,2.00655,1.0447,0.9171,80.25,1.8596,2.27035,0.92315,0.8108,70.93,0.8191,1.7168,1.5074,131.905,2.09595,1.84035,161.04,0.8779,76.83,87.485
1996-03-08,0.76805,0.67595,1.249,1.522,1.36825,1.2027,105.755,1.13625,1.6262,1.9816,1.0509,0.92375,81.23,1.8478,2.25165,0.92485,0.81285,71.48,0.8206,1.7089,1.50215,132.085,2.08245,1.8305,160.96,0.879,77.29,87.925
1996-03-15,0.77325,0.68185,1.25785,1.52955,1.36365,1.18655,105.795,1.13405,1.62675,1.9781,1.05445,0.91745,81.81,1.84475,2.24325,0.92985,0.80865,72.14,0.82235,1.71525,1.4918,133.075,2.08605,1.81485,161.82,0.8701,77.58,89.165
1996-03-22,0.77705,0.68715,1.2537,1.5365,1.36245,1.1935,106.85,1.13085,1.6134,1.97735,1.0587,0.9274,83.03,1.8245,2.23605,0.93625,0.82015,73.42,0.81595,1.7082,1.4963,133.955,2.09345,1.8338,164.18,0.876,78.42,89.525
1996-03-29,0.7823,0.681,1.25575,1.5265,1.35925,1.1895,107.195,1.14875,1.6052,1.9513,1.06335,0.93055,83.86,1.844,2.24155,0.92565,0.81005,73.0,0.82265,1.70685,1.4937,134.615,2.0749,1.81575,163.63,0.8751,78.86,90.115
1996-04-05,0.78365,0.68285,1.25325,1.52875,1.356,1.19475,107.665,1.14765,1.59925,1.9508,1.06265,0.93625,84.37,1.83535,2.23875,0.92595,0.81585,73.52,0.8198,1.69945,1.49735,134.935,2.07295,1.82645,164.59,0.8811,79.4,90.115
1996-04-12,0.79145,0.67885,1.2439,1.5125,1.35655,1.2285,108.67,1.16585,1.57165,1.91105,1.07365,0.9723,86.05,1.83235,2.22805,0.92085,0.834,73.81,0.82245,1.6874,1.5281,135.245,2.0518,1.8581,164.45,0.9056,80.15,88.505
1996-04-19,0.78335,0.68675,1.2382,1.51355,1.3625,1.228,107.35,1.1407,1.58065,1.93215,1.0673,0.96195,84.09,1.80295,2.20395,0.9357,0.8433,73.72,0.8181,1.687,1.5205,132.925,2.0622,1.85865,162.48,0.9013,78.79,87.415
1996-04-26,0.79005,0.68655,1.2307,1.51355,1.361,1.2348,105.45,1.15085,1.55775,1.9158,1.07555,0.9758,83.33,1.79255,2.20455,0.9344,0.84775,72.4,0.8131,1.675,1.5197,129.775,2.05995,1.86895,159.6,0.90725,77.48,85.395
