Date,MID_PRICE,US2YT=RR,US10YT=RR,diff
2002-01-04,278.95,3.1679,5.1251,1.9571999999999998
2002-01-11,287.55,2.7388,4.8758,2.137
2002-01-18,283.55,2.8803,4.8927,2.0123999999999995
2002-01-25,279.45,3.1747,5.0695,1.8947999999999996
2002-02-01,286.25,3.1056,4.9841,1.8784999999999998
2002-02-08,304.0,2.9015,4.881,1.9795000000000003
2002-02-15,298.1,2.9437,4.863,1.9193000000000002
2002-02-22,293.0,2.9302,4.8349,1.9047
2002-03-01,298.15,3.1837,4.9837,1.7999999999999998
2002-03-08,289.75,3.5628,5.3251,1.7622999999999998
2002-03-15,290.05,3.5806,5.3333,1.7527000000000004
2002-03-22,297.75,3.7094,5.4033,1.6938999999999997
2002-03-29,302.7,3.7223,5.406,1.6836999999999995
2002-04-05,300.05,3.4742,5.2066,1.7323999999999997
2002-04-12,302.15,3.3597,5.1567,1.7969999999999997
2002-04-19,302.35,3.3265,5.2007,1.8742000000000005
2002-04-26,311.35,3.2124,5.0577,1.8452999999999995
2002-05-03,311.95,3.1537,5.0564,1.9026999999999998
2002-05-10,311.05,3.1638,5.1188,1.955
2002-05-17,311.0,3.3659,5.2559,1.8899999999999997
2002-05-24,320.6,3.2308,5.1461,1.9152999999999998
2002-05-31,326.55,3.203,5.0446,1.8416000000000001
2002-06-07,324.0,3.1386,5.0651,1.9265000000000003
2002-06-14,319.4,2.8891,4.8008,1.9116999999999997
2002-06-21,324.65,2.8897,4.7636,1.8739000000000003
2002-06-28,314.625,2.8188,4.8088,1.9899999999999998
2002-07-05,311.5,2.8911,4.862,1.9709000000000003
2002-07-12,316.0,2.5292,4.574,2.0448
2002-07-19,323.95,2.4185,4.5184,2.0999
2002-07-26,303.75,2.2259,4.3865,2.1605999999999996
2002-08-02,307.4,2.006,4.2947,2.2887
2002-08-09,314.6,2.0706,4.2575,2.1869
2002-08-16,314.0,2.2579,4.3269,2.0690000000000004
2002-08-23,307.0,2.1499,4.2377,2.0878
2002-08-30,312.75,2.1381,4.1297,1.9915999999999996
2002-09-06,320.25,2.0519,4.0153,1.9634
