Dates,MXWO Index,RMZ Index,SPX Index,BCOM Index
4/1/2002,1023.49,#N/A N/A,1172.51,91.4464
11/1/2002,997.01,#N/A N/A,1145.6,91.0633
18/1/2002,980.08,#N/A N/A,1127.58,88.738
25/1/2002,978.14,#N/A N/A,1133.28,89.0317
1/2/2002,967.44,#N/A N/A,1122.2,89.5971
8/2/2002,949.11,#N/A N/A,1096.22,90.0159
15/2/2002,961.94,#N/A N/A,1104.18,90.4934
22/2/2002,946.27,#N/A N/A,1089.84,90.1246
1/3/2002,980.73,#N/A N/A,1131.78,91.9384
8/3/2002,1020.41,#N/A N/A,1164.31,95.8259
15/3/2002,1020.33,#N/A N/A,1166.16,97.946
22/3/2002,1006.18,#N/A N/A,1148.7,98.4757
29/3/2002,1003.6,#N/A N/A,1147.39,99.5878
5/4/2002,990.93,#N/A N/A,1122.73,98.1368
12/4/2002,976.24,#N/A N/A,1111.01,94.1077
19/4/2002,996.91,#N/A N/A,1125.17,98.5504
26/4/2002,967.58,#N/A N/A,1076.32,98.0401
3/5/2002,968.42,#N/A N/A,1073.43,98.0585
10/5/2002,956.61,#N/A N/A,1054.99,99.6589
17/5/2002,994.87,#N/A N/A,1106.59,99.5452
24/5/2002,980.38,#N/A N/A,1083.82,97.6987
31/5/2002,967.85,#N/A N/A,1067.14,97.7548
7/6/2002,933.08,#N/A N/A,1027.53,96.8192
14/6/2002,905.7,#N/A N/A,1007.28,97.8441
21/6/2002,894.9,#N/A N/A,989.14,97.2445
28/6/2002,907.81,#N/A N/A,989.81,99.5183
5/7/2002,905.02,#N/A N/A,989.03,99.5901
12/7/2002,853.37,#N/A N/A,921.39,99.6161
19/7/2002,806.14,#N/A N/A,847.76,100.9846
26/7/2002,785.78,#N/A N/A,852.84,97.8074
2/8/2002,795.79,#N/A N/A,864.24,98.3099
9/8/2002,829.45,#N/A N/A,908.64,97.7519
16/8/2002,842.66,#N/A N/A,928.77,101.9192
23/8/2002,852.46,#N/A N/A,940.86,102.4176
30/8/2002,830.58,#N/A N/A,916.07,102.5808
6/9/2002,808.07,#N/A N/A,893.92,104.9222
13/9/2002,798.17,#N/A N/A,889.81,106.3866
20/9/2002,760.8,#N/A N/A,845.39,106.1428
27/9/2002,752.08,#N/A N/A,827.37,106.4657
4/10/2002,727.58,#N/A N/A,800.58,103.8998
11/10/2002,749.32,#N/A N/A,835.32,104.705
18/10/2002,789.83,#N/A N/A,884.39,106.6468
25/10/2002,792.81,#N/A N/A,897.65,104.6304
1/11/2002,798.85,#N/A N/A,900.96,104.8249
8/11/2002,800.4,#N/A N/A,894.74,102.3286
15/11/2002,809.75,#N/A N/A,909.83,102.2213
22/11/2002,828.58,#N/A N/A,930.55,105.7531
29/11/2002,833.47,#N/A N/A,936.31,105.2467
6/12/2002,810.42,#N/A N/A,912.23,105.3123
13/12/2002,793.31,#N/A N/A,889.48,109.3013
20/12/2002,796.21,#N/A N/A,895.75,111.2049
27/12/2002,784.06,#N/A N/A,875.4,112.6614
3/1/2003,813.91,#N/A N/A,908.59,114.733
10/1/2003,824.47,#N/A N/A,927.57,113.0309
17/1/2003,808.77,#N/A N/A,901.78,115.379
24/1/2003,777.97,#N/A N/A,861.4,117.0199
31/1/2003,767.48,#N/A N/A,855.7,118.6439
7/2/2003,750.08,#N/A N/A,829.69,121.0621
14/2/2003,754.25,#N/A N/A,834.89,120.5706
21/2/2003,763.52,#N/A N/A,848.17,122.2218
28/2/2003,752.86,#N/A N/A,841.15,122.5258
7/3/2003,737.98,#N/A N/A,828.89,124.0064
14/3/2003,740.35,#N/A N/A,833.27,117.9232
21/3/2003,785.87,#N/A N/A,895.79,111.3801
28/3/2003,762.95,#N/A N/A,863.5,112.3557
4/4/2003,774.86,#N/A N/A,878.85,111.2417
11/4/2003,770.3,#N/A N/A,868.3,112.2939
18/4/2003,792.77,#N/A N/A,893.58,114.9768
25/4/2003,794.41,#N/A N/A,898.81,112.6237
2/5/2003,822.5,#N/A N/A,930.08,112.0247
9/5/2003,831.39,#N/A N/A,933.41,116.6231
16/5/2003,844.29,#N/A N/A,944.3,119.4883
23/5/2003,836.94,#N/A N/A,933.22,118.8481
30/5/2003,857.65,#N/A N/A,963.59,118.8213
6/6/2003,883.29,#N/A N/A,987.76,120.8258
13/6/2003,887.46,#N/A N/A,988.61,116.9823
20/6/2003,894.19,#N/A N/A,995.69,117.5395
27/6/2003,874.18,#N/A N/A,976.22,115.2883
4/7/2003,883.66,#N/A N/A,985.7,116.1357
11/7/2003,889.53,#N/A N/A,998.14,117.015
18/7/2003,881.67,#N/A N/A,993.32,116.1704
25/7/2003,894.61,#N/A N/A,998.68,115.7571
1/8/2003,880.79,#N/A N/A,980.15,118.3628
8/8/2003,878.4,#N/A N/A,977.59,118.6134
15/8/2003,895.26,#N/A N/A,990.67,117.9608
22/8/2003,897.74,#N/A N/A,993.06,121.3215
29/8/2003,905.32,#N/A N/A,1008.01,120.8984
5/9/2003,922.87,#N/A N/A,1021.39,119.634
12/9/2003,922.99,#N/A N/A,1018.63,119.6774
19/9/2003,942.48,#N/A N/A,1036.3,117.8979
26/9/2003,912.19,#N/A N/A,996.85,119.0097
3/10/2003,944.23,#N/A N/A,1029.85,121.9401
10/10/2003,956.27,#N/A N/A,1038.06,127.1809
17/10/2003,959.43,#N/A N/A,1039.32,125.516
24/10/2003,946.11,#N/A N/A,1028.91,126.6318
31/10/2003,962.71,#N/A N/A,1050.71,126.5708
7/11/2003,967.33,#N/A N/A,1053.21,127.0949
14/11/2003,970.02,#N/A N/A,1050.35,130.8534
21/11/2003,955.98,#N/A N/A,1035.28,126.8988
28/11/2003,976.02,#N/A N/A,1058.2,126.0868
5/12/2003,987.82,#N/A N/A,1061.5,131.8001
12/12/2003,995.22,#N/A N/A,1074.14,136.6262
19/12/2003,1008.52,#N/A N/A,1088.67,136.7654
26/12/2003,1018.31,#N/A N/A,1095.89,134.6716
2/1/2004,1038.06,#N/A N/A,1108.48,135.2686
9/1/2004,1056.79,#N/A N/A,1121.86,142.2182
16/1/2004,1059.63,#N/A N/A,1139.83,139.9493
23/1/2004,1071.69,#N/A N/A,1141.55,141.2073
